,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
1193,w140,0,45.0,0,Zoniferol,Female,19,30
371,o331,0,45.0,0,Ketapril,Male,24,30
333,g497,0,45.0,0,Ketapril,Male,19,28
331,f278,0,45.0,0,Ketapril,Male,12,30
1145,n763,0,45.0,0,Placebo,Female,16,25
1579,u946,0,45.0,0,Propriva,Male,5,30
1314,l558,0,45.0,0,Ceftamin,Female,13,30
397,m550,0,45.0,0,Ketapril,Male,18,28
1375,l661,0,45.0,0,Ceftamin,Male,18,26
270,z581,0,45.0,0,Infubinol,Female,24,25
1090,c302,0,45.0,0,Zoniferol,Female,10,29
1385,j296,0,45.0,0,Ceftamin,Female,24,30
1080,w350,0,45.0,0,Propriva,Male,7,26
1395,u149,0,45.0,0,Ceftamin,Male,24,29
419,x264,0,45.0,0,Naftisol,Female,21,27
428,f234,0,45.0,0,Stelasyn,Male,14,28
1070,a401,0,45.0,0,Zoniferol,Female,8,25
1401,u153,0,45.0,0,Ceftamin,Female,11,25
1402,w151,0,45.0,0,Ceftamin,Male,24,25
1068,n630,0,45.0,0,Propriva,Female,15,29
1067,d133,0,45.0,0,Zoniferol,Male,5,30
254,k804,0,45.0,0,Infubinol,Female,23,29
262,o809,0,45.0,0,Infubinol,Male,3,25
1365,y769,0,45.0,0,Ceftamin,Female,6,27
418,v199,0,45.0,0,Naftisol,Female,17,29
1100,a897,0,45.0,0,Placebo,Male,7,28
299,c580,0,45.0,0,Ketapril,Male,22,25
1317,l733,0,45.0,0,Ceftamin,Female,4,30
1135,r850,0,45.0,0,Placebo,Male,5,30
1327,f436,0,45.0,0,Ceftamin,Female,3,25
1125,a262,0,45.0,0,Placebo,Female,17,29
290,i386,0,45.0,0,Infubinol,Female,23,29
1331,l490,0,45.0,0,Ceftamin,Male,24,26
407,h428,0,45.0,0,Ketapril,Female,1,27
408,r701,0,45.0,0,Naftisol,Male,21,25
1338,b759,0,45.0,0,Ceftamin,Female,12,25
1115,q787,0,45.0,0,Placebo,Male,17,27
1345,l471,0,45.0,0,Ceftamin,Female,7,28
1110,j235,0,45.0,0,Placebo,Male,6,30
280,a251,0,45.0,0,Infubinol,Female,21,25
1355,y865,0,45.0,0,Ceftamin,Male,23,26
1139,i669,0,45.0,0,Placebo,Female,18,27
898,a203,0,45.0,0,Infubinol,Female,20,23
944,k754,0,45.0,0,Zoniferol,Female,8,26
145,x336,0,45.0,0,Naftisol,Female,4,29
737,p387,0,45.0,0,Stelasyn,Male,3,30
1775,w914,0,45.0,0,Capomulin,Male,24,21
746,b879,0,45.0,0,Stelasyn,Female,4,26
1765,v923,0,45.0,0,Capomulin,Female,19,21
756,i901,0,45.0,0,Stelasyn,Male,23,29
1755,j119,0,45.0,0,Capomulin,Female,7,23
60,q119,0,45.0,0,Ketapril,Male,17,30
585,u196,0,45.0,0,Ramicane,Male,18,25
63,f993,0,45.0,0,Naftisol,Male,21,28
766,k862,0,45.0,0,Stelasyn,Female,13,25
1745,u364,0,45.0,0,Capomulin,Male,18,17
68,z234,0,45.0,0,Naftisol,Female,19,27
776,g867,0,45.0,0,Stelasyn,Female,9,25
70,b559,0,45.0,0,Naftisol,Male,20,26
51,n923,0,45.0,0,Ketapril,Male,19,30
146,l725,0,45.0,0,Naftisol,Female,8,26
780,s619,0,45.0,0,Stelasyn,Male,22,30
1731,s710,0,45.0,0,Capomulin,Female,1,23
782,w697,0,45.0,0,Stelasyn,Female,14,30
1721,l509,0,45.0,0,Capomulin,Male,17,21
80,y260,0,45.0,0,Ketapril,Female,7,25
790,j984,0,45.0,0,Stelasyn,Female,2,30
1711,x401,0,45.0,0,Capomulin,Female,16,15
565,g791,0,45.0,0,Ramicane,Male,11,16
1701,b742,0,45.0,0,Capomulin,Male,7,21
800,c402,0,45.0,0,Stelasyn,Female,1,27
90,x930,0,45.0,0,Naftisol,Male,13,26
810,h333,0,45.0,0,Stelasyn,Male,21,27
1691,s185,0,45.0,0,Capomulin,Female,3,17
817,k510,0,45.0,0,Stelasyn,Female,8,27
575,a520,0,45.0,0,Ramicane,Male,13,21
595,m546,0,45.0,0,Ramicane,Male,18,16
1785,i738,0,45.0,0,Capomulin,Female,23,20
730,a366,0,45.0,0,Stelasyn,Female,16,29
647,r921,0,45.0,0,Ramicane,Female,5,25
654,a492,0,45.0,0,Stelasyn,Male,20,25
1883,m601,0,45.0,0,Capomulin,Male,22,17
664,w540,0,45.0,0,Stelasyn,Female,8,26
1878,f966,0,45.0,0,Capomulin,Male,16,17
10,f932,0,45.0,0,Ketapril,Male,15,29
11,g107,0,45.0,0,Ketapril,Female,2,29
627,e662,0,45.0,0,Ramicane,Male,8,24
1868,m957,0,45.0,0,Capomulin,Female,3,19
670,v764,0,45.0,0,Stelasyn,Female,5,30
1858,i557,0,45.0,0,Capomulin,Female,1,24
674,z795,0,45.0,0,Naftisol,Female,13,29
19,a457,0,45.0,0,Ketapril,Female,11,30
684,e291,0,45.0,0,Naftisol,Female,14,29
1848,t565,0,45.0,0,Capomulin,Female,20,17
22,c819,0,45.0,0,Ketapril,Male,21,25
617,s508,0,45.0,0,Ramicane,Male,1,17
1795,r944,0,45.0,0,Capomulin,Male,12,25
720,s565,0,45.0,0,Stelasyn,Female,3,29
41,p189,0,45.0,0,Ketapril,Male,8,28
1805,y793,0,45.0,0,Capomulin,Male,17,17
710,j755,0,45.0,0,Naftisol,Male,23,27
605,w678,0,45.0,0,Ramicane,Female,5,24
1681,r554,0,45.0,0,Capomulin,Female,8,17
1815,g316,0,45.0,0,Capomulin,Female,22,22
1825,g288,0,45.0,0,Capomulin,Male,3,19
31,h246,0,45.0,0,Ketapril,Male,13,30
700,e213,0,45.0,0,Naftisol,Male,8,27
1835,l897,0,45.0,0,Capomulin,Male,17,19
690,e584,0,45.0,0,Naftisol,Male,9,27
1845,w150,0,45.0,0,Capomulin,Male,23,23
607,n364,0,45.0,0,Ramicane,Male,4,17
96,o725,0,45.0,0,Naftisol,Male,4,26
1741,r157,0,45.0,0,Capomulin,Male,22,25
1219,q582,0,45.0,0,Placebo,Male,5,30
840,a963,0,45.0,0,Stelasyn,Female,23,27
1660,i334,0,45.0,0,Ramicane,Female,8,20
110,v835,0,45.0,0,Naftisol,Male,7,29
1650,f345,0,45.0,0,Infubinol,Male,23,26
135,l700,0,45.0,0,Naftisol,Female,18,27
1604,c927,0,45.0,0,Propriva,Female,4,26
1649,t573,0,45.0,0,Ceftamin,Female,15,27
876,v719,0,45.0,0,Infubinol,Female,17,30
115,r604,0,45.0,0,Naftisol,Male,7,30
525,x402,0,45.0,0,Stelasyn,Male,21,28
850,m269,0,45.0,0,Stelasyn,Female,22,28
1613,x226,0,45.0,0,Ceftamin,Male,23,28
860,g989,0,45.0,0,Propriva,Female,21,26
1614,p438,0,45.0,0,Ceftamin,Female,11,26
1640,q483,0,45.0,0,Ceftamin,Male,6,26
861,g989,0,45.0,0,Propriva,Female,21,26
1630,o287,0,45.0,0,Ceftamin,Male,2,28
873,z314,0,45.0,0,Stelasyn,Female,21,28
1624,b487,0,45.0,0,Ceftamin,Female,6,28
535,r811,0,45.0,0,Ramicane,Male,9,19
875,o848,0,45.0,0,Stelasyn,Female,14,27
1594,v991,0,45.0,0,Propriva,Female,10,30
545,a644,0,45.0,0,Ramicane,Female,7,17
881,q597,0,45.0,0,Ramicane,Male,20,25
555,i177,0,45.0,0,Ramicane,Male,10,18
100,z969,0,45.0,0,Naftisol,Male,9,30
822,p981,0,45.0,0,Stelasyn,Male,20,29
1673,j246,0,45.0,0,Capomulin,Female,21,21
891,c895,0,45.0,0,Infubinol,Female,7,29
1584,o562,0,45.0,0,Propriva,Female,4,25
830,t451,0,45.0,0,Stelasyn,Male,8,29
125,n304,0,45.0,0,Naftisol,Male,9,26
1670,l264,0,45.0,0,Ketapril,Female,15,30
526,x402,5,46.32757027,1,Stelasyn,Male,21,28
1146,n763,5,46.08598142,0,Placebo,Female,16,25
882,q597,5,45.76611104,0,Ramicane,Male,20,25
516,c758,5,45.5786783,0,Ramicane,Male,9,17
392,v289,5,46.20446003,0,Ketapril,Female,3,26
1200,o795,5,46.76092721,1,Placebo,Female,20,26
648,r921,5,45.56821083,0,Ramicane,Female,5,25
701,e213,5,45.69925018,1,Naftisol,Male,8,27
608,n364,5,45.52187471,0,Ramicane,Male,4,17
1194,w140,5,47.71795156,0,Zoniferol,Female,19,30
874,z314,5,45.93471217,0,Stelasyn,Female,21,28
1140,i669,5,46.76466824,1,Placebo,Female,18,27
606,w678,5,43.16637266,0,Ramicane,Female,5,24
925,f545,5,46.56581263,0,Zoniferol,Female,20,26
892,c895,5,45.47754399,0,Infubinol,Female,7,29
1210,y478,5,48.64107818,1,Placebo,Female,3,25
398,m550,5,49.05409736,1,Ketapril,Male,18,28
935,k894,5,47.64568674,0,Zoniferol,Female,13,29
1136,r850,5,46.86291194,0,Placebo,Male,5,30
372,o331,5,47.05966408,1,Ketapril,Male,24,30
628,e662,5,45.81628252,0,Ramicane,Male,8,24
671,v764,5,47.05418474,0,Stelasyn,Female,5,30
691,e584,5,45.656978499999994,0,Naftisol,Male,9,27
1181,c282,5,45.72568973,0,Placebo,Male,12,27
675,z795,5,46.83347493,0,Naftisol,Female,13,29
877,v719,5,47.18836325,0,Infubinol,Female,17,30
1171,e227,5,47.23801112,0,Placebo,Male,1,30
863,g989,5,47.57039208,0,Propriva,Female,21,26
506,k403,5,38.82589807,0,Ramicane,Male,21,16
1196,v409,5,46.22079642,0,Placebo,Female,16,25
911,c264,5,45.79170389,0,Zoniferol,Female,11,27
665,w540,5,45.88537038,1,Stelasyn,Female,8,26
899,a203,5,48.5084684,0,Infubinol,Female,20,23
618,s508,5,38.71187185,0,Ramicane,Male,1,17
1191,v989,5,48.85813451,0,Placebo,Male,4,25
685,e291,5,46.14250486,0,Naftisol,Female,14,29
382,m650,5,48.56249492,1,Ketapril,Male,15,27
655,a492,5,46.40914339,0,Stelasyn,Male,20,25
1161,c766,5,47.31305537,0,Placebo,Female,13,26
909,f394,5,47.03309963,0,Zoniferol,Male,19,30
362,c832,5,48.68546123,1,Ketapril,Male,18,29
502,y449,5,45.87754494,0,Ramicane,Male,19,24
1155,s152,5,47.459052899999996,1,Placebo,Female,4,30
921,n967,5,46.07719173,1,Zoniferol,Male,11,27
462,a411,5,45.46667714,0,Ramicane,Male,3,22
711,j755,5,47.24284357,0,Naftisol,Male,23,27
576,a520,5,38.72370695,0,Ramicane,Male,13,21
973,x613,5,46.09704058,0,Zoniferol,Female,2,29
437,c458,5,45.72227949,0,Ramicane,Female,23,20
546,a644,5,45.55015754,0,Ramicane,Female,7,17
977,q633,5,47.18380215,0,Zoniferol,Male,12,25
1054,m331,5,45.52301371,1,Zoniferol,Female,19,26
781,s619,5,46.60226878,0,Stelasyn,Male,22,30
831,t451,5,48.04713882,0,Stelasyn,Male,8,29
444,q610,5,45.62949421,0,Ramicane,Female,18,21
783,w697,5,48.30182261,1,Stelasyn,Female,14,30
1044,q511,5,45.83265378,0,Zoniferol,Female,2,28
791,j984,5,48.41072109,1,Stelasyn,Female,2,30
1058,o926,5,46.76116373,0,Zoniferol,Male,15,29
1034,s337,5,46.84985157,0,Zoniferol,Male,14,27
566,g791,5,45.85153062,0,Ramicane,Male,11,16
823,p981,5,47.00062717,0,Stelasyn,Male,20,29
452,j913,5,44.01490022,0,Ramicane,Female,4,17
1027,a788,5,47.00658024,0,Zoniferol,Male,5,30
987,b313,5,47.15443254,0,Zoniferol,Male,12,27
801,c402,5,49.3426301,1,Stelasyn,Female,1,27
1017,c559,5,46.56263793,0,Zoniferol,Female,19,28
993,f129,5,47.00059399,0,Zoniferol,Female,11,29
1007,p136,5,49.27397096,0,Zoniferol,Female,5,28
811,h333,5,45.75172728,0,Stelasyn,Male,21,27
997,j365,5,46.7112611,0,Zoniferol,Male,24,28
818,k510,5,46.608467100000006,0,Stelasyn,Female,8,27
472,a444,5,44.00597487,0,Ramicane,Female,10,25
1126,a262,5,48.71756819,1,Placebo,Female,17,29
777,g867,5,46.88074916,0,Stelasyn,Female,9,25
1069,n630,5,46.09909969,0,Propriva,Female,15,29
1116,q787,5,47.11661587,0,Placebo,Male,17,27
945,k754,5,45.7277604,0,Zoniferol,Female,8,26
721,s565,5,48.24255218,0,Stelasyn,Female,3,29
492,j989,5,45.62071835,1,Ramicane,Male,8,19
731,a366,5,48.95136773,0,Stelasyn,Female,16,29
409,r701,5,46.88697137,0,Naftisol,Male,21,25
556,i177,5,44.06539783,0,Ramicane,Male,10,18
596,m546,5,42.99887638,0,Ramicane,Male,18,16
1111,j235,5,46.58881978,0,Placebo,Male,6,30
862,g989,5,48.78680146,0,Propriva,Female,21,26
1101,a897,5,45.69112405,1,Placebo,Male,7,28
738,p387,5,48.66763075,0,Stelasyn,Male,3,30
841,a963,5,46.23350581,0,Stelasyn,Female,23,27
950,g296,5,46.59323337,0,Zoniferol,Female,14,29
747,b879,5,49.15615628,1,Stelasyn,Female,4,26
1091,c302,5,47.69067986,1,Zoniferol,Female,10,29
851,m269,5,49.011180100000004,0,Stelasyn,Female,22,28
960,d164,5,46.61767061,0,Zoniferol,Male,21,28
1081,w350,5,48.23211311,0,Propriva,Male,7,26
586,u196,5,45.55746444,1,Ramicane,Male,18,25
1071,a401,5,46.11198591,0,Zoniferol,Female,8,25
963,w575,5,48.91385977,1,Zoniferol,Female,16,28
757,i901,5,46.49302392,0,Stelasyn,Male,23,29
429,f234,5,47.31349062,0,Stelasyn,Male,14,28
482,d251,5,41.74635495,1,Ramicane,Female,8,19
767,k862,5,49.20305786,0,Stelasyn,Female,13,25
420,x264,5,47.0384145,0,Naftisol,Female,21,27
536,r811,5,45.62580225,0,Ramicane,Male,9,19
638,z578,5,42.18878662,0,Ramicane,Male,11,16
353,o973,5,46.71787727,0,Ketapril,Female,11,29
172,a818,5,45.69670864,0,Naftisol,Female,12,28
1549,g570,5,47.65642436,1,Propriva,Male,16,29
1559,x209,5,46.75426887,0,Propriva,Female,7,29
163,v295,5,46.11181797,1,Naftisol,Female,2,27
1562,x111,5,46.94101498,1,Propriva,Female,24,27
1565,z435,5,47.11597963,0,Propriva,Female,12,26
157,m133,5,46.62130127,0,Naftisol,Female,2,26
1568,n678,5,47.55428429,0,Propriva,Male,5,29
1220,q582,5,45.95539895,1,Placebo,Male,5,30
1571,g558,5,46.18874193,0,Propriva,Male,8,29
1580,u946,5,45.9918078,1,Propriva,Male,5,30
1585,o562,5,46.51495016,1,Propriva,Female,4,25
1595,v991,5,49.21432799,1,Propriva,Female,10,30
136,l700,5,45.91837165,0,Naftisol,Female,18,27
1605,c927,5,46.35184205,0,Propriva,Female,4,26
1615,p438,5,46.82793418,0,Ceftamin,Female,11,26
126,n304,5,46.43121629,0,Naftisol,Male,9,26
1625,b487,5,46.21397739,0,Ceftamin,Female,6,28
147,l725,5,48.73631881,1,Naftisol,Female,8,26
1535,r107,5,48.51342027,0,Propriva,Female,2,28
1533,w746,5,49.45327005,0,Propriva,Male,1,26
182,y601,5,48.47500273,1,Naftisol,Female,23,25
1442,v766,5,48.15125091,1,Infubinol,Male,16,27
1446,w193,5,45.49385802,0,Infubinol,Male,22,30
228,a577,5,46.197719899999996,1,Infubinol,Female,6,25
226,v339,5,46.25011212,0,Infubinol,Male,20,26
1451,e476,5,47.11180113,0,Infubinol,Male,23,26
1461,w584,5,46.05193075,0,Infubinol,Male,3,29
216,c139,5,48.75311208,0,Infubinol,Male,11,28
214,c326,5,36.321345799999996,0,Infubinol,Female,18,25
1469,k210,5,47.91899771,0,Ceftamin,Male,15,28
1479,a275,5,46.79525728,0,Ceftamin,Female,20,28
1489,x581,5,47.1969266,0,Ceftamin,Female,19,28
204,w422,5,48.45745927,0,Ketapril,Female,18,26
1500,t198,5,47.46126052,0,Propriva,Male,22,26
1510,l215,5,49.48194935,1,Propriva,Male,10,29
194,k382,5,46.27499735,1,Ketapril,Male,22,29
1513,s141,5,45.83113434,0,Propriva,Male,8,25
1520,o523,5,45.54470008,0,Propriva,Female,6,25
1523,i635,5,47.23593715,0,Propriva,Male,21,26
184,t724,5,46.35925829,0,Naftisol,Female,2,25
1631,o287,5,45.58680362,0,Ceftamin,Male,2,28
1641,q483,5,46.77681624,1,Ceftamin,Male,6,26
116,r604,5,47.06774448,1,Naftisol,Male,7,30
1651,f345,5,45.5911466,0,Infubinol,Male,23,26
1776,w914,5,45.89372032,0,Capomulin,Male,24,21
1786,i738,5,45.59568527,0,Capomulin,Female,23,20
1796,r944,5,45.73714484,0,Capomulin,Male,12,25
42,p189,5,49.04870704,1,Ketapril,Male,8,28
1806,y793,5,41.01991315,0,Capomulin,Male,17,17
1816,g316,5,44.02275246,0,Capomulin,Female,22,22
1826,g288,5,45.83939976,0,Capomulin,Male,3,19
32,h246,5,49.47041702,0,Ketapril,Male,13,30
1836,l897,5,45.46224327,0,Capomulin,Male,17,19
1846,w150,5,39.20212894,0,Capomulin,Male,23,23
23,c819,5,45.76924864,1,Ketapril,Male,21,25
20,a457,5,47.462891,0,Ketapril,Female,11,30
1849,t565,5,45.8956472,0,Capomulin,Female,20,17
1859,i557,5,42.2616653,0,Capomulin,Female,1,24
12,g107,5,48.79166496,0,Ketapril,Female,2,29
1869,m957,5,45.62238149,1,Capomulin,Female,3,19
1879,f966,5,38.79647373,0,Capomulin,Male,16,17
1884,m601,5,41.40859145,1,Capomulin,Male,22,17
1,b128,5,45.65133131,0,Capomulin,Female,9,22
52,n923,5,45.82488099,0,Ketapril,Male,19,30
235,y163,5,48.28497016,0,Infubinol,Female,17,27
1766,v923,5,45.70443431,0,Capomulin,Female,19,21
61,q119,5,47.86444,0,Ketapril,Male,17,30
111,v835,5,47.15601071,0,Naftisol,Male,7,29
1661,i334,5,41.02051821,0,Ramicane,Female,8,20
1671,l264,5,46.66876646,0,Ketapril,Female,15,30
101,z969,5,49.33299873,0,Naftisol,Male,9,30
1674,j246,5,45.64143788,0,Capomulin,Female,21,21
97,o725,5,46.88982098,0,Naftisol,Male,4,26
1682,r554,5,45.78174579,1,Capomulin,Female,8,17
91,x930,5,46.07823375,0,Naftisol,Male,13,26
1692,s185,5,43.87849569,0,Capomulin,Female,3,17
1702,b742,5,41.53409702,0,Capomulin,Male,7,21
1712,x401,5,45.47375302,0,Capomulin,Female,16,15
81,y260,5,46.79983867,0,Ketapril,Female,7,25
1722,l509,5,45.85119285,0,Capomulin,Male,17,21
1732,s710,5,43.180977399999996,0,Capomulin,Female,1,23
1742,r157,5,45.59706359,0,Capomulin,Male,22,25
71,b559,5,47.40989731,0,Naftisol,Male,20,26
69,z234,5,46.12935706,1,Naftisol,Female,19,27
1746,u364,5,45.76088647,1,Capomulin,Male,18,17
64,f993,5,46.39575966,0,Naftisol,Male,21,28
1756,j119,5,45.83899787,0,Capomulin,Female,7,23
1436,s121,5,45.63566174,1,Infubinol,Male,23,26
1542,s187,5,47.57671761,1,Propriva,Male,22,25
1366,y769,5,46.42265176,1,Ceftamin,Female,6,27
1290,a699,5,46.55308986,0,Propriva,Female,5,28
1328,f436,5,46.37079759,1,Ceftamin,Female,3,25
281,a251,5,46.98212719,0,Infubinol,Female,21,25
314,u327,5,45.69418805,0,Ketapril,Male,17,25
263,o809,5,46.87724316,0,Infubinol,Male,3,25
1249,t718,5,45.92125272,1,Placebo,Female,10,30
291,i386,5,46.85369669,1,Infubinol,Female,23,29
1386,j296,5,46.79925591,1,Ceftamin,Female,24,30
1259,o302,5,48.93701188,0,Placebo,Female,2,29
1332,l490,5,45.61253918,1,Ceftamin,Male,24,26
1403,w151,5,45.54607595,1,Ceftamin,Male,24,25
334,g497,5,48.78206878,0,Ketapril,Male,19,28
271,z581,5,49.27309187,1,Infubinol,Female,24,25
1284,p310,5,46.55853236,1,Propriva,Male,6,26
332,f278,5,48.19457788,0,Ketapril,Male,12,30
1279,t994,5,47.891487100000006,0,Placebo,Male,14,30
1305,x822,5,45.67110442,1,Ceftamin,Male,3,29
1339,b759,5,48.00919049,0,Ceftamin,Female,12,25
1266,i477,5,46.65738471,0,Placebo,Female,3,30
1356,y865,5,46.73500592,1,Ceftamin,Male,23,26
324,v603,5,46.01600593,0,Ketapril,Female,22,30
1269,c757,5,47.78327981,0,Placebo,Male,9,27
1376,l661,5,46.26879904,0,Ceftamin,Male,18,26
1241,w167,5,48.78627194,0,Placebo,Female,6,28
1396,u149,5,45.79206792,0,Ceftamin,Male,24,29
300,c580,5,46.62845479999999,0,Ketapril,Male,22,25
1429,n671,5,47.35388938,0,Infubinol,Male,18,25
307,q132,5,46.7163985,1,Infubinol,Female,1,30
1427,m756,5,47.01036401,1,Infubinol,Male,19,30
1315,l558,5,45.80908882,0,Ceftamin,Female,13,30
245,k483,5,46.61105571,0,Infubinol,Female,20,30
1228,s166,5,47.18678778,0,Placebo,Male,19,27
1425,o813,5,45.69933088,0,Infubinol,Male,24,28
344,d474,5,45.91835225,0,Ketapril,Male,18,27
1300,k603,5,46.04211582,0,Propriva,Male,2,27
1415,a685,5,46.87048256,0,Infubinol,Male,8,30
1346,l471,5,46.25187204,0,Ceftamin,Female,7,28
1318,l733,5,46.17422627,0,Ceftamin,Female,4,30
255,k804,5,48.26620364,0,Infubinol,Female,23,29
1413,h531,5,47.784681799999994,0,Ceftamin,Male,5,27
1231,x773,5,45.8508307,1,Placebo,Female,21,30
1675,j246,10,46.408361299999996,0,Capomulin,Female,21,21
1172,e227,10,51.34975705,1,Placebo,Male,1,30
1747,u364,10,46.56841719,2,Capomulin,Male,18,17
1703,b742,10,41.99922813,0,Capomulin,Male,7,21
758,i901,10,50.42124982,0,Stelasyn,Male,23,29
1270,c757,10,49.21931669,0,Placebo,Male,9,27
1301,k603,10,46.60694676,0,Propriva,Male,2,27
812,h333,10,46.23384414,1,Stelasyn,Male,21,27
1743,r157,10,46.05960827,0,Capomulin,Male,22,25
1713,x401,10,39.11389068,0,Capomulin,Female,16,15
1285,p310,10,48.66560668,1,Propriva,Male,6,26
1693,s185,10,37.61494768,0,Capomulin,Female,3,17
784,w697,10,48.925056,2,Stelasyn,Female,14,30
1683,r554,10,39.0054935,2,Capomulin,Female,8,17
